date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:05:38	4151/4151	---M--	200	added ('OK')	text/plain	etag:%2293d0bf1ed9daec6b7477c2d96fc77be4%22	https://www.amazon.com/robots.txt		(from )
01:05:54	117878/117878	---MC-	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2021:04:30%20GMT	https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%204/Yeni%20Proje%204/www.amazon.com/ap/signinef29.html	(from )
01:05:55	136113/136113	---MCZ	200	added ('OK')	text/css	date:Wed,%2006%20Jan%202021%2002:50:26%20GMT	https://images-na.ssl-images-amazon.com/images/I/61A6IErPNXL._RC|11Fd9tJOdtL.css,11tfezETfFL.css,31Q3id-QR0L.css,31U9HrBLKmL.css_.css?AUIClients/AmazonUI	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%204/Yeni%20Proje%204/images-na.ssl-images-amazon.com/images/I/61A6IErPNXL._RC_11Fd9tJOdtL.css,11tfezETfFL.css,31Q3id-QR0L.css,31U9HrBLKmL.css_b1fc.css	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
01:05:55	60911/60911	---MCZ	200	added ('OK')	text/css	date:Sat,%2030%20May%202015%2002:58:48%20GMT	https://images-na.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC|31jdWD+JB+L.css,51a-Srr-vTL.css_.css?AUIClients/AuthenticationPortalAssets	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%204/Yeni%20Proje%204/images-na.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC_31jdWD+JB+L.css,51a-Srr-vTL.css_7e0c.css	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
01:05:55	4709/4709	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20Jun%202024%2013:07:54%20GMT	https://images-na.ssl-images-amazon.com/images/I/21N2V6fmOuL.css?AUIClients/CVFAssets	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%204/Yeni%20Proje%204/images-na.ssl-images-amazon.com/images/I/21N2V6fmOuLc8b6.css	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
01:05:56	2073/2073	---MCZ	200	added ('OK')	text/plain	etag:W/%222c11ab97d4fbc3c41ad1b5c3930c40d9%22	https://static.siege-amazon.com/prod/profiles/AuthenticationPortalSigninNA.js	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%204/Yeni%20Proje%204/static.siege-amazon.com/prod/profiles/AuthenticationPortalSigninNA.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
01:06:04	84923/84923	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jul%202024%2021:04:53%20GMT	https://www.amazon.com/ap/POST	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%204/Yeni%20Proje%204/www.amazon.com/ap/POST.5.delayed	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
01:06:12	107129/107129	---MC-	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2021:05:00%20GMT	https://www.amazon.com/ap/forgotpassword?showRememberMe=true&openid.pape.max_auth_age=0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=usflex&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_custrec_signin&prevRID=QW1D4MK3Z5YQXDCFYS7P&openid.assoc_handle=usflex&openid.mode=checkid_setup&prepopulatedLoginId=&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%204/Yeni%20Proje%204/www.amazon.com/ap/forgotpassword5f84.html	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
01:06:29	84940/84940	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jul%202024%2021:05:13%20GMT	https://www.amazon.com/ap/GET	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%204/Yeni%20Proje%204/www.amazon.com/ap/GET	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
01:06:30	27972/27972	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2023:31:33%20GMT	https://m.media-amazon.com/images/S/sash/mPGmT0r6IeTyIee.png	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%204/Yeni%20Proje%204/m.media-amazon.com/images/S/sash/mPGmT0r6IeTyIee.png	(from https://images-na.ssl-images-amazon.com/images/I/61A6IErPNXL._RC|11Fd9tJOdtL.css,11tfezETfFL.css,31Q3id-QR0L.css,31U9HrBLKmL.css_.css?AUIClients/AmazonUI)
