date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:06	195047/195047	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2020:55:01%20GMT	https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/girise68e.html	(from )
00:56:06	1401/1401	---MCZ	200	added ('OK')	text/plain	date:Fri,%2026%20Jul%202024%2020:55:02%20GMT	https://www.trendyol.com/robots.txt		(from )
00:56:06	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2026%20Jul%202024%2020:55:02%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.googletagmanager.com/gtm.15445.delayed	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:07	1167/1167	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2020:55:02%20GMT	https://www.trendyol.com/static/opensearch	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/static/opensearch.html	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:07	277827/277827	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2020:55:03%20GMT	https://www.trendyol.com/	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/index.html	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:07	14396/14396	---M--	200	added ('OK')	text/css	etag:%2297ec81d433d9ee4b6fdcf62276780556%22	https://cdn.dsmcdn.com/frontend/web/production/common-97ec81d433.style.css	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/cdn.dsmcdn.com/frontend/web/production/common-97ec81d433.style.css	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:08	56145/56145	---M--	200	added ('OK')	text/css	etag:%220b6c368ccf17c74b76c4424acf0ff69c%22	https://cdn.dsmcdn.com/web/production/icomoon-1720511066728.css	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/cdn.dsmcdn.com/web/production/icomoon-1720511066728.css	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:08	148028/148028	---M--	200	added ('OK')	application/javascript	etag:%2201ca172aa7797b976f5dfc744964a5ea%22	https://cdn.dsmcdn.com/frontend/web/production/common-vendor-core-27-jun-2024.bundle.js	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/cdn.dsmcdn.com/frontend/web/production/common-vendor-core-27-jun-2024.bundle.js	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:08	8241/8241	---M--	200	added ('OK')	application/javascript	etag:%228b3b66ab59a4b80f42c2adc9a4d540de%22	https://cdn.dsmcdn.com/web/production/sfxFragmentInjector.c5546dc5.js	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/cdn.dsmcdn.com/web/production/sfxFragmentInjector.c5546dc5.js	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:08	24804/24804	---M--	200	added ('OK')	text/css	etag:%221c3d1cdaa90c9be25fa9794e5b950e54%22	https://cdn.dsmcdn.com/web/production/css-style.min.c5546dc5.css	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/cdn.dsmcdn.com/web/production/css-style.min.c5546dc5.css	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
